classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
14179090,AssertiveWall,1496505,0515d80957623610ddd9,2282,RHESSI Pointing,6.9,2016-07-20 15:05:29 UTC,,,"{""session"":""b60ea2ac6d4a929560a94d77fe0ea1393b1c311499cd7d8ca95a5caf5d458b8d"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T15:05:19.106Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T15:05:28.777Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":486,""clientHeight"":544,""naturalWidth"":519,""naturalHeight"":580}]}","[{""task"":""T0"",""task_label"":""Please point to the sources that you can see on this image."",""value"":[{""x"":245.10457179575934,""y"":305.69371065955136,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""}]}]","{""3048631"":{""retired"":null,""Filename"":""Back Projection 11-Dec-2014 19_16_00.png""}}",3048631
14179094,AssertiveWall,1496505,0515d80957623610ddd9,2282,RHESSI Pointing,6.9,2016-07-20 15:06:02 UTC,,,"{""session"":""b60ea2ac6d4a929560a94d77fe0ea1393b1c311499cd7d8ca95a5caf5d458b8d"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T15:05:30.770Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T15:06:02.704Z"",""seen_before"":true,""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":491,""clientHeight"":544,""naturalWidth"":528,""naturalHeight"":585}]}","[{""task"":""T0"",""task_label"":""Please point to the sources that you can see on this image."",""value"":[{""x"":282.8328012194757,""y"":223.30983512478963,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""},{""x"":272.07120052263247,""y"":325.5480728927656,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""},{""x"":159.0743932057782,""y"":283.5765858090702,""tool"":1,""frame"":0,""details"":[],""tool_label"":""Faint Sources""}]}]","{""3048633"":{""retired"":null,""Filename"":""MEM NJIT 11-Dec-2014 19_11_00.png""}}",3048633
14181522,AssertiveWall,1496505,0515d80957623610ddd9,2282,RHESSI Pointing,6.9,2016-07-20 16:38:51 UTC,,,"{""session"":""670fe20d858d8f8573277620bcfc9603e308b6d4bb276118bb529ea7e6296046"",""viewport"":{""width"":1366,""height"":604},""started_at"":""2016-07-20T16:03:36.805Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64; rv:47.0) Gecko/20100101 Firefox/47.0"",""utc_offset"":""18000"",""finished_at"":""2016-07-20T16:38:50.924Z"",""seen_before"":true,""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":491,""clientHeight"":544,""naturalWidth"":528,""naturalHeight"":585}]}","[{""task"":""T0"",""task_label"":""Please point to the sources that you can see on this image."",""value"":[]}]","{""3048633"":{""retired"":null,""Filename"":""MEM NJIT 11-Dec-2014 19_11_00.png""}}",3048633
14396126,glesener,1506519,e674969e9642a57b671e,2239,RHESSI Flares BC,18.3,2016-07-28 15:03:58 UTC,,,"{""session"":""90d0e1cc1597cbb11da9ea28807066aef961a36f9f192b3767f96ed7b962735d"",""viewport"":{""width"":1280,""height"":634},""started_at"":""2016-07-28T15:02:52.576Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"",""utc_offset"":""-7200"",""finished_at"":""2016-07-28T15:03:57.670Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":515,""clientHeight"":571,""naturalWidth"":528,""naturalHeight"":585}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":null}]","{""3048633"":{""retired"":null,""Filename"":""MEM NJIT 11-Dec-2014 19_11_00.png""}}",3048633
14396132,glesener,1506519,e674969e9642a57b671e,2239,RHESSI Flares BC,18.3,2016-07-28 15:04:09 UTC,,,"{""session"":""90d0e1cc1597cbb11da9ea28807066aef961a36f9f192b3767f96ed7b962735d"",""viewport"":{""width"":1280,""height"":634},""started_at"":""2016-07-28T15:04:05.245Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"",""utc_offset"":""-7200"",""finished_at"":""2016-07-28T15:04:08.671Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":513,""clientHeight"":571,""naturalWidth"":521,""naturalHeight"":579}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":null}]","{""3048632"":{""retired"":null,""Filename"":""Clean 11-Dec-2014 19_11_00.png""}}",3048632
14396136,glesener,1506519,e674969e9642a57b671e,2239,RHESSI Flares BC,18.3,2016-07-28 15:04:18 UTC,,,"{""session"":""90d0e1cc1597cbb11da9ea28807066aef961a36f9f192b3767f96ed7b962735d"",""viewport"":{""width"":1280,""height"":634},""started_at"":""2016-07-28T15:04:11.149Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"",""utc_offset"":""-7200"",""finished_at"":""2016-07-28T15:04:16.449Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":511,""clientHeight"":571,""naturalWidth"":519,""naturalHeight"":580}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":null}]","{""3048631"":{""retired"":null,""Filename"":""Back Projection 11-Dec-2014 19_16_00.png""}}",3048631
14396142,glesener,1506519,e674969e9642a57b671e,2239,RHESSI Flares BC,18.3,2016-07-28 15:04:28 UTC,,,"{""session"":""90d0e1cc1597cbb11da9ea28807066aef961a36f9f192b3767f96ed7b962735d"",""viewport"":{""width"":1280,""height"":634},""started_at"":""2016-07-28T15:04:18.895Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"",""utc_offset"":""-7200"",""finished_at"":""2016-07-28T15:04:28.257Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":509,""clientHeight"":571,""naturalWidth"":518,""naturalHeight"":581}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":""One footpoint""},{""task"":""T1"",""task_label"":""Do you see any faint sources?"",""value"":""No""}]","{""3048634"":{""retired"":null,""Filename"":""Clean 11-Dec-2014 19_16_00.png""}}",3048634
14396147,glesener,1506519,e674969e9642a57b671e,2239,RHESSI Flares BC,18.3,2016-07-28 15:04:39 UTC,,,"{""session"":""90d0e1cc1597cbb11da9ea28807066aef961a36f9f192b3767f96ed7b962735d"",""viewport"":{""width"":1280,""height"":634},""started_at"":""2016-07-28T15:04:33.504Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"",""utc_offset"":""-7200"",""finished_at"":""2016-07-28T15:04:39.002Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":510,""clientHeight"":571,""naturalWidth"":519,""naturalHeight"":581}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":null}]","{""3048630"":{""retired"":null,""Filename"":""Back Projection 11-Dec-2014 19_11_00.png""}}",3048630
14396149,glesener,1506519,e674969e9642a57b671e,2239,RHESSI Flares BC,18.3,2016-07-28 15:04:49 UTC,,,"{""session"":""90d0e1cc1597cbb11da9ea28807066aef961a36f9f192b3767f96ed7b962735d"",""viewport"":{""width"":1280,""height"":634},""started_at"":""2016-07-28T15:04:42.686Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"",""utc_offset"":""-7200"",""finished_at"":""2016-07-28T15:04:48.555Z"",""seen_before"":true,""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":515,""clientHeight"":571,""naturalWidth"":528,""naturalHeight"":585}]}","[{""task"":""T0"",""task_label"":""How many bright spots do you see?"",""value"":""Two footpoints""},{""task"":""T1"",""task_label"":""Do you see any faint sources?"",""value"":""Yes""}]","{""3048633"":{""retired"":null,""Filename"":""MEM NJIT 11-Dec-2014 19_11_00.png""}}",3048633
14396157,glesener,1506519,e674969e9642a57b671e,2282,RHESSI Pointing,6.9,2016-07-28 15:05:11 UTC,,,"{""session"":""90d0e1cc1597cbb11da9ea28807066aef961a36f9f192b3767f96ed7b962735d"",""viewport"":{""width"":1280,""height"":634},""started_at"":""2016-07-28T15:05:03.428Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"",""utc_offset"":""-7200"",""finished_at"":""2016-07-28T15:05:10.654Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":511,""clientHeight"":571,""naturalWidth"":519,""naturalHeight"":580}]}","[{""task"":""T0"",""task_label"":""Please point to the sources that you can see on this image."",""value"":[{""x"":247.61155706938663,""y"":300.3795492510338,""tool"":0,""frame"":0,""details"":[],""tool_label"":""Bright Source""}]}]","{""3048631"":{""retired"":null,""Filename"":""Back Projection 11-Dec-2014 19_16_00.png""}}",3048631
